mesi,anno,value
January,2019,11.49535307
February,2019,10.72747288
March,2019,10.44851671
April,2019,10.38731945
May,2019,10.80302638
June,2019,10.60266857
July,2019,10.69076223
August,2019,10.18165416
September,2019,10.88550602
October,2019,10.83597532
November,2019,10.84704493
December,2019,10.71946787
January,2020,11.76969154
February,2020,12.10110343
March,2020,12.45547619
April,2020,11.85642967
May,2020,11.66183105
June,2020,11.53310831
July,2020,11.56392791
August,2020,10.92540705
September,2020,11.57693306
October,2020,11.51727482
November,2020,11.8824482
December,2020,11.85878145
January,2021,12.28495666
February,2021,11.56045244
March,2021,11.30571598
